item_id,title_zh,title_en,match_status,candidate_count,candidate_artists_or_collections,candidate_domains,candidate_source_page_urls,candidate_titles
45a7366dd41a,转化,,exact_single,1,Jeremie Camus,artmajeur.com,https://www.artmajeur.com/jeremie-camus?view=grid&collections%5B%5D=2238868,转化
280f3c27a098,鱼生 #3,,exact_single,1,Igor Shulman,artmajeur.com,https://www.artmajeur.com/igor-shulman?view=grid&collections%5B%5D=1286191,鱼生 #3
0d5166aa8c12,奇妙之旅,Wonderful Journey,exact_single,1,Picrate,artmajeur.com,https://www.artmajeur.com/picrate?view=grid&collections%5B%5D=1775407,奇妙之旅
70c32c033765,火星的征服,,exact_single,1,Dags Vidulejs,artmajeur.com,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,火星的征服
1032c94dc26c,怒猫,Furious Cat,exact_single,1,苏大朝,artist.artron.net,https://artist.artron.net/artists23462/sale-0-0-0-1-1/,怒猫
d8eec78542df,无人驾驶,Driverless,exact_single,1,铁心,tiexin.artron.net,https://tiexin.artron.net/,无人驾驶
900aa74ff476,《荷塘追梦系列之二》,Pursuing Dreams in the Lotus Pond Series No. 2,exact_single,1,铁心,tiexin.artron.net,https://tiexin.artron.net/,《荷塘追梦系列之二》
ec9727dc1caf,乡村清晨,,exact_single,1,Nga Tran,artmajeur.com,https://www.artmajeur.com/nga-tran?view=grid&collections%5B%5D=2287606,乡村清晨
ffd8d1668aa7,黎明的金色,,exact_single,1,Jean-Humbert Savoldelli,artmajeur.com,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,黎明的金色
49d08e279c77,时间的联合,,exact_single,1,Elisa De Montis,artmajeur.com,https://www.artmajeur.com/elisa-de-montis?view=grid&collections%5B%5D=2450866,时间的联合
01d0c51f3d96,山谷中的沉睡者,,exact_single,1,Jean-Humbert Savoldelli,artmajeur.com,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,山谷中的沉睡者
4922f64f7b32,相信自己的直觉,Trust Your Instincts,exact_single,1,Picrate,artmajeur.com,https://www.artmajeur.com/picrate?view=grid&collections%5B%5D=1775407,相信自己的直觉
9e8f13c0ad90,废都,The Abandoned Capital,exact_single,1,管朴学,guanpuxue.artron.net,https://guanpuxue.artron.net/,废都
7a495437dea8,《苹果与马》,Apples and Horses,exact_single,1,尘三,artist.artron.net,https://artist.artron.net/artists23471/sale-0-0-0-7-1/,《苹果与马》
438b3376f646,双生影,,exact_single,1,Annabelle Amory,artmajeur.com,https://www.artmajeur.com/annabelle-amory?view=grid&collections%5B%5D=2064842,双生影
40fe75077c7b,淡荡秋光,Gentle Autumn Light,exact_single,1,管朴学,guanpuxue.artron.net,https://guanpuxue.artron.net/,淡荡秋光
817c85485534,中国远征军-老兵李文德,Chinese Expeditionary Force - Veteran Li Wende,exact_single,1,苏阳阳,artist.artron.net,https://artist.artron.net/artists5391/sale-0-0-0-1-1/,中国远征军-老兵李文德
113768c9c7f6,阿尔班永恒,,exact_single,1,Jean-Humbert Savoldelli,artmajeur.com,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,阿尔班永恒
7d189d6c0f1a,乐队,,exact_single,1,Jean-Humbert Savoldelli,artmajeur.com,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,乐队
bd744b0b6982,地下墓穴,,exact_single,1,Jean-Humbert Savoldelli,artmajeur.com,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,地下墓穴
3c4d26a24330,全球化克隆,,exact_single,1,Dags Vidulejs,artmajeur.com,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,全球化克隆
ab36ee798527,泥土的拥抱,,exact_single,1,Alex Senchenko,artmajeur.com,https://www.artmajeur.com/senchenko?view=grid&collections%5B%5D=1872680,泥土的拥抱
b231b28e9379,类比谜题,Analog Puzzle,exact_single,1,,,,类比谜题
69de4e9b33ec,蚁生,Ant Life,unmatched,0,,,,
ad055fc89458,公共花园,,exact_single,1,Jean-Humbert Savoldelli,artmajeur.com,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,公共花园
954c5208a895,最后的光芒,,exact_single,1,Jean-Humbert Savoldelli,artmajeur.com,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,最后的光芒
b241cd2b4f65,心画意兴,Heartfelt Inspiration,exact_single,1,马章乘,mazhangcheng.artron.net,https://mazhangcheng.artron.net/,心画意兴
d54cb4df8208,王府井南口,South Entrance of Wangfujing,exact_single,1,戴泽,daize.artron.net,https://daize.artron.net/,王府井南口
4005c06befe7,渐逝的梦,Fading Dream,exact_single,1,,,,渐逝的梦
0303fa35c506,桃花源,Peach Blossom Spring,unmatched,0,,,,
7c15216a356d,森林中的鹿,Deer in the Forest,exact_single,1,,,,森林中的鹿
1bb7b3f48b7b,多花,,exact_single,1,Nga Tran,artmajeur.com,https://www.artmajeur.com/nga-tran?view=grid&collections%5B%5D=2287606,多花
b50f282ba6de,撒尼斗牛文化节,Sani Bullfighting Festival,unmatched,0,,,,
cdebdedbba2b,我痛苦，因此我活着,,exact_single,1,Milos Hronec,artmajeur.com,https://www.artmajeur.com/milos-hronec?view=grid&collections%5B%5D=2390674,我痛苦，因此我活着
ffd061445b8d,《绿马踏冠毒》,Green Horse Trampling the Crown of Poison,exact_single,1,,,,《绿马踏冠毒》
faa3326226b8,紧急呼救 II,Emergency Call II,exact_single,1,,,,紧急呼救 II
38ba9f1aa8e4,任何一天,Any Day,exact_single,1,,,,任何一天
40e216c47afa,失落的幻影,失落的幻影,exact_single,1,,,,失落的幻影
377ffc885c72,和平使命：乌克兰与以色列,Peace Mission: Ukraine and Israel,exact_single,1,,,,和平使命：乌克兰与以色列
b08a77016f53,毛茸茸的大狗,Fluffy Big Dog,exact_single,1,苏大朝,artist.artron.net,https://artist.artron.net/artists23462/sale-0-0-0-1-1/,毛茸茸的大狗
ec9fddf3dd86,愤怒的花朵崩溃,Flowers of Rage Collapse,exact_single,1,,,,愤怒的花朵崩溃
ee4610588f3f,夏天,,ambiguous,3,Igor Shulman; Irina Laube; 党中华,artist.artron.net; artmajeur.com,https://artist.artron.net/artists314; https://www.artmajeur.com/igor-shulman?view=grid&collections%5B%5D=1286191; https://www.artmajeur.com/irina-laube?view=grid&collections%5B%5D=1872800,夏天
5f11912239eb,沉默的觉醒,,exact_single,1,Alex Senchenko,artmajeur.com,https://www.artmajeur.com/senchenko?view=grid&collections%5B%5D=1872680,沉默的觉醒
51b28e1848fc,憩,Repose,exact_single,1,苏大朝,artist.artron.net,https://artist.artron.net/artists23462/sale-0-0-0-1-1/,憩
9d7e20c0637e,机械神灵,,unmatched,0,,,,
63700d00e7bc,抱宠物的家庭,Family with Pets,exact_single,1,,,,抱宠物的家庭
eceb28d72fd4,黄金武士,,exact_single,1,Jean-Humbert Savoldelli,artmajeur.com,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,黄金武士
4d1a84a7a0d3,岁月,Years,exact_single,1,韩玉臣,hanyuchen.artron.net,https://hanyuchen.artron.net/,岁月
acd801e7b120,梦百合NO.5,Dream Lily No. 5,exact_single,1,铁心,tiexin.artron.net,https://tiexin.artron.net/,梦百合NO.5
9b845b101b5f,莎迦熊妹村,Saga Bear Sister Village,exact_single,1,戴泽,daize.artron.net,https://daize.artron.net/,莎迦熊妹村
73991c17113e,绽放之潮,,exact_single,1,Claire Denarie-Soffietti,artmajeur.com,https://www.artmajeur.com/claire-denarie-soffietti?view=grid&collections%5B%5D=2130209,绽放之潮
78c5df210341,月光码头,,exact_single,1,Nga Tran,artmajeur.com,https://www.artmajeur.com/nga-tran?view=grid&collections%5B%5D=2287606,月光码头
2acd084564cc,柏林世界青年联欢节,Berlin World Youth Festival,exact_single,1,戴泽,daize.artron.net,https://daize.artron.net/,柏林世界青年联欢节
e2a7d995adb0,父亲的爱,A Father's Love,exact_single,1,Picrate,artmajeur.com,https://www.artmajeur.com/picrate?view=grid&collections%5B%5D=1775407,父亲的爱
53f58f163b21,西安户县麦子地,"Wheat Fields in Huxian, Xi'an",exact_single,1,戴泽,daize.artron.net,https://daize.artron.net/,西安户县麦子地
33a514e2e078,循环,,exact_single,1,Annabelle Amory,artmajeur.com,https://www.artmajeur.com/annabelle-amory?view=grid&collections%5B%5D=2064842,循环
9b485248182d,《奇异梦幻》,Fantastic Dreams,ambiguous,2,黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,《奇异梦幻》
da62c0a19ce8,艺术圣殿的入口,Entrance to the Temple of Art,exact_single,1,戴泽,daize.artron.net,https://daize.artron.net/,艺术圣殿的入口
7e6096767b83,秋天的回忆,,exact_single,1,Nga Tran,artmajeur.com,https://www.artmajeur.com/nga-tran?view=grid&collections%5B%5D=2287606,秋天的回忆
c66e94da3f40,柔软的匕首,Soft Dagger,exact_single,1,,,,柔软的匕首
2459c8d5cb74,苍鹭,,exact_single,1,Elisa De Montis,artmajeur.com,https://www.artmajeur.com/elisa-de-montis?view=grid&collections%5B%5D=2450866,苍鹭
6e2fe2c082f1,母亲的喜悦,,exact_single,1,Ganiyat Abdulazeez,artmajeur.com,https://www.artmajeur.com/ganiyat-abdulazeez?view=grid&collections%5B%5D=2121668,母亲的喜悦
1d2dc99906a8,《全球化·克隆》,Globalization·Clone,exact_single,1,,,,《全球化·克隆》
df732c4410e3,避雨的小猪,Pig Sheltering from the Rain,exact_single,1,苏大朝,artist.artron.net,https://artist.artron.net/artists23462/sale-0-0-0-1-1/,避雨的小猪
ff377c0bca2d,秋水,Autumn Water,ambiguous,2,党中华; 管朴学,artist.artron.net; guanpuxue.artron.net,https://artist.artron.net/artists314; https://guanpuxue.artron.net/,秋水
5721636792b3,下十字架,Descent from the Cross,exact_single,1,岳敏君,yueminjun.artron.net,https://yueminjun.artron.net/,下十字架
3bf941aeddac,初兆,,unmatched,0,,,,
b7a79ddaff63,生活选择 II,,exact_single,1,Milos Hronec,artmajeur.com,https://www.artmajeur.com/milos-hronec?view=grid&collections%5B%5D=2390674,生活选择 II
63d8f42527b0,花之少女请教,Floral Maiden's Inquiry,exact_single,1,,,,花之少女请教
e20f640cb640,融合,Fusion,ambiguous,2,Antoine Alran; Robert Van Den Herik,artmajeur.com,https://www.artmajeur.com/antoine-alran?view=grid&collections%5B%5D=2199799; https://www.artmajeur.com/robert-van-den-herik?view=grid&collections%5B0%5D=1744639&page=2,融合
9331e1ff3566,平行线,,exact_single,1,Jean-Humbert Savoldelli,artmajeur.com,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,平行线
a79ff7013cd8,早春记事,Early Spring Chronicles,unmatched,0,,,,
b17675cc0db9,发型师 1,,exact_single,1,Jean Luc Michon,artmajeur.com,https://www.artmajeur.com/jean-luc-michon?view=grid&collections%5B%5D=2220361,发型师 1
73ffe2c58df2,《浩瀚》,Vastness,ambiguous,2,黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,《浩瀚》
b8e6b93cca53,运气,Luck,exact_single,1,,,,运气
d967704a5a81,民谣,Ballad,unmatched,0,,,,
0d13932ce80b,我们的内心平静,Our Inner Peace,exact_single,1,,,,我们的内心平静
ad6225cb3b55,囚徒,Prisoner,exact_single,1,,,,囚徒
886d55758537,母女图,Mother and Daughter,exact_single,1,,,,母女图
0c4618751279,幸运男孩,,exact_single,1,Jean-Humbert Savoldelli,artmajeur.com,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,幸运男孩
7135699f8c2c,梦与睡衣,,exact_single,1,Claire Denarie-Soffietti,artmajeur.com,https://www.artmajeur.com/claire-denarie-soffietti?view=grid&collections%5B%5D=2130209,梦与睡衣
