item_id,image_path,title_zh,title_en,source_url,source_url_type,source_site_hint
45a7366dd41a,images_512/artmajeur/45a7366dd41a.jpg,转化,Transformation,https://www.artmajeur.com/jeremie-camus?view=grid&collections%5B%5D=2238868,artist_or_collection_page,artmajeur.com
280f3c27a098,images_512/artmajeur/280f3c27a098.jpg,鱼生 #3,Fish Life #3,https://www.artmajeur.com/igor-shulman?view=grid&collections%5B%5D=1286191,artist_or_collection_page,artmajeur.com
0d5166aa8c12,images_512/artmajeur/0d5166aa8c12.jpg,奇妙之旅,Wonderful Journey,https://www.artmajeur.com/picrate?view=grid&collections%5B%5D=1775407,artist_or_collection_page,artmajeur.com
70c32c033765,images_512/artmajeur/70c32c033765.jpg,火星的征服,Conquest of Mars,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,artist_or_collection_page,artmajeur.com
ec9727dc1caf,images_512/artmajeur/ec9727dc1caf.jpg,乡村清晨,Country Morning,https://www.artmajeur.com/nga-tran?view=grid&collections%5B%5D=2287606,artist_or_collection_page,artmajeur.com
ffd8d1668aa7,images_512/artmajeur/ffd8d1668aa7.jpg,黎明的金色,Golden Dawn,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,artist_or_collection_page,artmajeur.com
49d08e279c77,images_512/artmajeur/49d08e279c77.jpg,时间的联合,L'Unione dei tempi,https://www.artmajeur.com/elisa-de-montis?view=grid&collections%5B%5D=2450866,artist_or_collection_page,artmajeur.com
01d0c51f3d96,images_512/artmajeur/01d0c51f3d96.jpg,山谷中的沉睡者,Sleeper in the Valley,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,artist_or_collection_page,artmajeur.com
4922f64f7b32,images_512/artmajeur/4922f64f7b32.jpg,相信自己的直觉,Trust Your Instincts,https://www.artmajeur.com/picrate?view=grid&collections%5B%5D=1775407,artist_or_collection_page,artmajeur.com
438b3376f646,images_512/artmajeur/438b3376f646.jpg,双生影,Doppelgänger,https://www.artmajeur.com/annabelle-amory?view=grid&collections%5B%5D=2064842,artist_or_collection_page,artmajeur.com
113768c9c7f6,images_512/artmajeur/113768c9c7f6.jpg,阿尔班永恒,Eternal Alban,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,artist_or_collection_page,artmajeur.com
7d189d6c0f1a,images_512/artmajeur/7d189d6c0f1a.jpg,乐队,The Band,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,artist_or_collection_page,artmajeur.com
bd744b0b6982,images_512/artmajeur/bd744b0b6982.jpg,地下墓穴,Catacombs,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,artist_or_collection_page,artmajeur.com
3c4d26a24330,images_512/artmajeur/3c4d26a24330.jpg,全球化克隆,GLOBALISATION CLONES,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,artist_or_collection_page,artmajeur.com
ab36ee798527,images_512/artmajeur/ab36ee798527.jpg,泥土的拥抱,Embrace of the Earth,https://www.artmajeur.com/senchenko?view=grid&collections%5B%5D=1872680,artist_or_collection_page,artmajeur.com
b231b28e9379,images_512/artmajeur/b231b28e9379.jpg,类比谜题,Analog Puzzle,https://www.artmajeur.com/zh/yi-shu-pin/hui-hua,artist_or_collection_page,artmajeur.com
ad055fc89458,images_512/artmajeur/ad055fc89458.jpg,公共花园,Public Garden,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,artist_or_collection_page,artmajeur.com
954c5208a895,images_512/artmajeur/954c5208a895.jpg,最后的光芒,Last Light,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,artist_or_collection_page,artmajeur.com
4005c06befe7,images_512/artmajeur/4005c06befe7.jpg,渐逝的梦,Fading Dream,https://www.artmajeur.com/zh/yi-shu-pin/hui-hua,artist_or_collection_page,artmajeur.com
0303fa35c506,images_512/artmajeur/0303fa35c506.jpg,桃花源,Peach Blossom Spring,https://www.artmajeur.com/zh/yi-shu-pin/hui-hua,artist_or_collection_page,artmajeur.com
7c15216a356d,images_512/artmajeur/7c15216a356d.jpg,森林中的鹿,Deer in the Forest,https://www.artmajeur.com/zh/yi-shu-pin/hui-hua,artist_or_collection_page,artmajeur.com
1bb7b3f48b7b,images_512/artmajeur/1bb7b3f48b7b.jpg,多花,Abundant Flowers,https://www.artmajeur.com/nga-tran?view=grid&collections%5B%5D=2287606,artist_or_collection_page,artmajeur.com
b50f282ba6de,images_512/artmajeur/b50f282ba6de.jpg,撒尼斗牛文化节,Sani Bullfighting Festival,https://www.artmajeur.com/zh/yi-shu-pin/hui-hua,artist_or_collection_page,artmajeur.com
cdebdedbba2b,images_512/artmajeur/cdebdedbba2b.jpg,我痛苦，因此我活着,"I Suffer, Therefore I Live",https://www.artmajeur.com/milos-hronec?view=grid&collections%5B%5D=2390674,artist_or_collection_page,artmajeur.com
40e216c47afa,images_512/artmajeur/40e216c47afa.jpg,失落的幻影,失落的幻影,https://www.artmajeur.com/zh/yi-shu-pin/hui-hua,artist_or_collection_page,artmajeur.com
377ffc885c72,images_512/artmajeur/377ffc885c72.jpg,和平使命：乌克兰与以色列,Peace Mission: Ukraine and Israel,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,artist_or_collection_page,artmajeur.com
ec9fddf3dd86,images_512/artmajeur/ec9fddf3dd86.jpg,愤怒的花朵崩溃,Flowers of Rage Collapse,https://www.artmajeur.com/zh/yi-shu-pin/hui-hua,artist_or_collection_page,artmajeur.com
ee4610588f3f,images_512/artmajeur/ee4610588f3f.jpg,夏天,Summer,https://artist.artron.net/artists314; https://www.artmajeur.com/igor-shulman?view=grid&collections%5B%5D=1286191; https://www.artmajeur.com/irina-laube?view=grid&collections%5B%5D=1872800,artist_or_collection_page,artist.artron.net; artmajeur.com
5f11912239eb,images_512/artmajeur/5f11912239eb.jpg,沉默的觉醒,Silent Awakening,https://www.artmajeur.com/senchenko?view=grid&collections%5B%5D=1872680,artist_or_collection_page,artmajeur.com
9d7e20c0637e,images_512/artmajeur/9d7e20c0637e.jpg,机械神灵,Mechanical Deity,https://www.artmajeur.com/zh/yi-shu-pin/hui-hua,artist_or_collection_page,artmajeur.com
eceb28d72fd4,images_512/artmajeur/eceb28d72fd4.jpg,黄金武士,Golden Warrior,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,artist_or_collection_page,artmajeur.com
73991c17113e,images_512/artmajeur/73991c17113e.jpg,绽放之潮,Tide of Bloom,https://www.artmajeur.com/claire-denarie-soffietti?view=grid&collections%5B%5D=2130209,artist_or_collection_page,artmajeur.com
78c5df210341,images_512/artmajeur/78c5df210341.jpg,月光码头,Moonlit Pier,https://www.artmajeur.com/nga-tran?view=grid&collections%5B%5D=2287606,artist_or_collection_page,artmajeur.com
e2a7d995adb0,images_512/artmajeur/e2a7d995adb0.jpg,父亲的爱,A Father's Love,https://www.artmajeur.com/picrate?view=grid&collections%5B%5D=1775407,artist_or_collection_page,artmajeur.com
33a514e2e078,images_512/artmajeur/33a514e2e078.jpg,循环,Le Cycle,https://www.artmajeur.com/annabelle-amory?view=grid&collections%5B%5D=2064842,artist_or_collection_page,artmajeur.com
7e6096767b83,images_512/artmajeur/7e6096767b83.jpg,秋天的回忆,Memories of Autumn,https://www.artmajeur.com/nga-tran?view=grid&collections%5B%5D=2287606,artist_or_collection_page,artmajeur.com
2459c8d5cb74,images_512/artmajeur/2459c8d5cb74.jpg,苍鹭,L'airone,https://www.artmajeur.com/elisa-de-montis?view=grid&collections%5B%5D=2450866,artist_or_collection_page,artmajeur.com
6e2fe2c082f1,images_512/artmajeur/6e2fe2c082f1.jpg,母亲的喜悦,Mother’s Joy,https://www.artmajeur.com/ganiyat-abdulazeez?view=grid&collections%5B%5D=2121668,artist_or_collection_page,artmajeur.com
1d2dc99906a8,images_512/artmajeur/1d2dc99906a8.jpg,《全球化·克隆》,Globalization·Clone,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,artist_or_collection_page,artmajeur.com
3bf941aeddac,images_512/artmajeur/3bf941aeddac.jpg,初兆,First Omen,https://www.artmajeur.com/zh/yi-shu-pin/hui-hua,artist_or_collection_page,artmajeur.com
b7a79ddaff63,images_512/artmajeur/b7a79ddaff63.jpg,生活选择 II,Life Choice II,https://www.artmajeur.com/milos-hronec?view=grid&collections%5B%5D=2390674,artist_or_collection_page,artmajeur.com
63d8f42527b0,images_512/artmajeur/63d8f42527b0.jpg,花之少女请教,Floral Maiden's Inquiry,https://www.artmajeur.com/zh/yi-shu-pin/hui-hua,artist_or_collection_page,artmajeur.com
e20f640cb640,images_512/artmajeur/e20f640cb640.jpg,融合,Fusion,https://www.artmajeur.com/antoine-alran?view=grid&collections%5B%5D=2199799; https://www.artmajeur.com/robert-van-den-herik?view=grid&collections%5B0%5D=1744639&page=2,artist_or_collection_page,artmajeur.com
9331e1ff3566,images_512/artmajeur/9331e1ff3566.jpg,平行线,Parallel Lines,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,artist_or_collection_page,artmajeur.com
b17675cc0db9,images_512/artmajeur/b17675cc0db9.jpg,发型师 1,Hairdresser 1,https://www.artmajeur.com/jean-luc-michon?view=grid&collections%5B%5D=2220361,artist_or_collection_page,artmajeur.com
b8e6b93cca53,images_512/artmajeur/b8e6b93cca53.jpg,运气,Luck,https://www.artmajeur.com/zh/yi-shu-pin/hui-hua,artist_or_collection_page,artmajeur.com
d967704a5a81,images_512/artmajeur/d967704a5a81.jpg,民谣,Ballad,https://www.artmajeur.com/zh/yi-shu-pin/hui-hua,artist_or_collection_page,artmajeur.com
0d13932ce80b,images_512/artmajeur/0d13932ce80b.jpg,我们的内心平静,Our Inner Peace,https://www.artmajeur.com/oluwapelumi-olaosun?view=grid&collections%5B%5D=2301889,artist_or_collection_page,artmajeur.com
886d55758537,images_512/artmajeur/886d55758537.jpg,母女图,Mother and Daughter,https://www.artmajeur.com/zh/yi-shu-pin/hui-hua,artist_or_collection_page,artmajeur.com
0c4618751279,images_512/artmajeur/0c4618751279.jpg,幸运男孩,Lucky Boy,https://www.artmajeur.com/jean-humbert-savoldelli?view=grid&collections%5B%5D=1607818,artist_or_collection_page,artmajeur.com
