artist_or_collection,domain,source_page_url,user_note,license_status,notes
毛锎,maokaiart.com,http://www.maokaiart.com/,前两页,unknown,Provided by author as source-site hint; exact work-page and license require verification.
李威,liweistudio.com,http://www.liweistudio.com/,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
徐小国,xuxiaoguo.com,http://www.xuxiaoguo.com/,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
党中华,artist.artron.net,https://artist.artron.net/artists314,"2024, 2022",unknown,Provided by author as source-site hint; exact work-page and license require verification.
阿丁,ading.artron.net,https://ading.artron.net/,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
焦小健,baike.artron.net,https://baike.artron.net/artist?id=1958,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
韩玉臣,hanyuchen.artron.net,https://hanyuchen.artron.net/,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
管朴学,guanpuxue.artron.net,https://guanpuxue.artron.net/,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
铁心,tiexin.artron.net,https://tiexin.artron.net/,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
岳敏君,yueminjun.artron.net,https://yueminjun.artron.net/,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
海阳,haiyang.artron.net,https://haiyang.artron.net/works_index_1,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
苏阳阳,artist.artron.net,https://artist.artron.net/artists5391/sale-0-0-0-1-1/,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
李书成,lishucheng.artron.net,https://lishucheng.artron.net/works_index_1,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
苏大朝,artist.artron.net,https://artist.artron.net/artists23462/sale-0-0-0-1-1/,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
尘三,artist.artron.net,https://artist.artron.net/artists23471/sale-0-0-0-7-1/,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
常世江,changshijiang.artron.net,https://changshijiang.artron.net/works_index_1,1-5,unknown,Provided by author as source-site hint; exact work-page and license require verification.
南海岩,nanhaiyan.artron.net,https://nanhaiyan.artron.net/works_index_1,1-5,unknown,Provided by author as source-site hint; exact work-page and license require verification.
黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,1-40,unknown,Provided by author as source-site hint; exact work-page and license require verification.
马章乘,mazhangcheng.artron.net,https://mazhangcheng.artron.net/,1-16,unknown,Provided by author as source-site hint; exact work-page and license require verification.
周湧国,zhouyong.artron.net,https://zhouyong.artron.net/works_index_1,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
刘守信,liushouxin.artron.net,https://liushouxin.artron.net/works_index_1,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
戴泽,daize.artron.net,https://daize.artron.net/,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
陈可之,chenkezhi.artron.net,https://chenkezhi.artron.net/works_index_1,,unknown,Provided by author as source-site hint; exact work-page and license require verification.
