item_id,title_zh,title_en,previous_status,new_status,inferred_artists,inferred_domains,inferred_collection_urls,match_types,match_folders,match_paths
d8eec78542df,无人驾驶,Driverless,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,铁心,tiexin.artron.net,https://tiexin.artron.net/,filename,USED 03artist_artron_tiexin,add pic/artist.artron.net/USED 03artist_artron_tiexin/无人驾驶.jpg
900aa74ff476,《荷塘追梦系列之二》,Pursuing Dreams in the Lotus Pond Series No. 2,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,铁心,tiexin.artron.net,https://tiexin.artron.net/,filename,USED 03artist_artron_tiexin,add pic/artist.artron.net/USED 03artist_artron_tiexin/《荷塘追梦系列之二》.jpg
9e8f13c0ad90,废都,The Abandoned Capital,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,管朴学,guanpuxue.artron.net,https://guanpuxue.artron.net/,filename,USED 05 artist_artron_guanpuxue,add pic/artist.artron.net/USED 05 artist_artron_guanpuxue/废都.jpg
40fe75077c7b,淡荡秋光,Gentle Autumn Light,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,管朴学,guanpuxue.artron.net,https://guanpuxue.artron.net/,filename,USED 05 artist_artron_guanpuxue,add pic/artist.artron.net/USED 05 artist_artron_guanpuxue/淡荡秋光.jpg
b241cd2b4f65,心画意兴,Heartfelt Inspiration,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,马章乘,mazhangcheng.artron.net,https://mazhangcheng.artron.net/,filename,USED 07 artist_artron_mazhangcheng1-16,add pic/artist.artron.net/USED 07 artist_artron_mazhangcheng1-16/心画意兴.jpg
d54cb4df8208,王府井南口,South Entrance of Wangfujing,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/王府井南口.jpg
377ffc885c72,和平使命：乌克兰与以色列,Peace Mission: Ukraine and Israel,no_collection_url_available,source_collection_inferred_from_local_title,Dags Vidulejs,artmajeur.com,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,translation_cache,USED 26 Dags Vidulejs,add pic/artmajeur.com/USED 26 Dags Vidulejs/_title_translation_cache.json
4d1a84a7a0d3,岁月,Years,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,韩玉臣,hanyuchen.artron.net,https://hanyuchen.artron.net/,filename,USED 04 artist_artron_hanyuchen,add pic/artist.artron.net/USED 04 artist_artron_hanyuchen/岁月.jpg
acd801e7b120,梦百合NO.5,Dream Lily No. 5,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,铁心,tiexin.artron.net,https://tiexin.artron.net/,filename,USED 03artist_artron_tiexin,add pic/artist.artron.net/USED 03artist_artron_tiexin/梦百合NO.5.jpg
9b845b101b5f,莎迦熊妹村,Saga Bear Sister Village,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/莎迦熊妹村.jpg
2acd084564cc,柏林世界青年联欢节,Berlin World Youth Festival,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/柏林世界青年联欢节.jpg
53f58f163b21,西安户县麦子地,"Wheat Fields in Huxian, Xi'an",no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/西安户县麦子地.jpg
9b485248182d,《奇异梦幻》,Fantastic Dreams,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,filename,USED 23 artist_artron_黄建南,add pic/artist.artron.net/USED 23 artist_artron_黄建南/《奇异梦幻》.jpg
da62c0a19ce8,艺术圣殿的入口,Entrance to the Temple of Art,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,戴泽,daize.artron.net,https://daize.artron.net/,filename,USED 08 artist_artron_daize5-22,add pic/artist.artron.net/USED 08 artist_artron_daize5-22/艺术圣殿的入口.jpg
1d2dc99906a8,《全球化·克隆》,Globalization·Clone,no_collection_url_available,source_collection_inferred_from_local_title,Dags Vidulejs,artmajeur.com,https://www.artmajeur.com/dags-vidulejs?view=grid&collections%5B%5D=2194390,translation_cache,USED 26 Dags Vidulejs,add pic/artmajeur.com/USED 26 Dags Vidulejs/_title_translation_cache.json
5721636792b3,下十字架,Descent from the Cross,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,岳敏君,yueminjun.artron.net,https://yueminjun.artron.net/,filename,USED 09 artist_artron_yueminjun,add pic/artist.artron.net/USED 09 artist_artron_yueminjun/下十字架.jpg
73ffe2c58df2,《浩瀚》,Vastness,no_work_url_match_on_collection_pages,no_work_url_match_on_collection_pages,黄建南,huangjiannan.artron.net,https://huangjiannan.artron.net/works_index_21,filename,USED 23 artist_artron_黄建南,add pic/artist.artron.net/USED 23 artist_artron_黄建南/《浩瀚》.jpg
0d13932ce80b,我们的内心平静,Our Inner Peace,no_collection_url_available,source_collection_inferred_from_local_title,Oluwapelumi Olaosun,artmajeur.com,https://www.artmajeur.com/oluwapelumi-olaosun?view=grid&collections%5B%5D=2301889,translation_cache,USED 01 Oluwapelumi Olaosun,add pic/artmajeur.com/USED 01 Oluwapelumi Olaosun/_title_translation_cache.json
